CENTRO,AÑO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRÁNSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS,INCIDENTE_CLAVES_ROJAS,DE_LLAMADAS_MALINTENCIONADAS_O_INDEBIDAS,CANTIDAD_DE_TELEFONOS_ENVIADOS_A_SANCIÓN,DE_LLAMADAS_GENERADAS_POR_LOS_TELEFONOS_SANCIONADOS,DE_LLAMADAS_NORMALES,TOTAL_DE_LLAMADAS_RECIBIDAS
SANTO DOMINGO,2014,AGOSTO, 6.971 , 826 , 1.201 , 3 , 150 , 8 , 179 , 9.338 , 4.244 , 26.041 ,,, 11.628 , 48.995 
SANTO DOMINGO,2014,SEPTIEMBRE, 6.361 , 686 , 1.190 , 3 , 127 , 1 , 189 , 8.557 , 4.022 , 22.432 ,,, 9.904 , 42.411 
SANTO DOMINGO,2014,OCTUBRE, 6.600 , 770 , 1.271 , 3 , 117 , 2 , 121 , 8.884 , 4.109 , 22.037 ,,, 10.187 , 42.632 
SANTO DOMINGO,2014,NOVIEMBRE, 7.071 , 693 , 1.190 , 0   , 138 , 8 , 153 , 9.253 , 4.060 , 23.914 ,,, 10.586 , 43.856 
SANTO DOMINGO,2014,DICIEMBRE, 7.554 , 1.057 , 1.259 ,,, 20 , 109 , 9.999 , 4.495 , 25.742 ,,, 11.572 , 47.426 
SANTO DOMINGO,2015,ENERO, 6.747 , 1.022 , 1.310 , 1 , 153 , 8 , 91 , 9.332 , 4.543 , 26.417 ,,, 10.775 , 46.681 
SANTO DOMINGO,2015,FEBRERO, 6.476 , 1.034 , 1.345 , 2 , 157 , 2 , 94 , 9.110 , 4.630 , 24.763 ,,, 10.433 , 44.068 
SANTO DOMINGO,2015,MARZO, 6.905 , 1.024 , 1.607 ,, 260 ,, 114 , 9.910 , 5.063 , 27.851 ,,, 10.917 , 53.647 
SANTO DOMINGO,2015,ABRIL, 6.821 , 1.019 , 1.478 ,, 299 ,, 126 , 9.743 , 4.891 , 28.807 ,,, 10.947 , 57.915 
SANTO DOMINGO,2015,MAYO, 7.383 , 1.060 , 1.727 , 1 , 210 ,, 96 , 10.477 , 5.327 , 28.987 ,,, 11.772 , 56.711 
SANTO DOMINGO,2015,JUNIO, 6.661 , 961 , 1.654 ,, 165 ,, 113 , 9.554 , 4.676 , 25.003 ,,, 10.588 , 47.808 
SANTO DOMINGO,2015,JULIO, 6.950 , 1.020 , 1.713 ,, 149 ,, 96 , 9.928 , 4.927 , 27.198 ,,, 9.928 , 52.610 
SANTO DOMINGO,2015,AGOSTO, 7.181 , 1.049 , 1.618 , 122 , 174 , 2 , 86 , 10.232 , 4.990 , 27.906 ,,, 11.465 , 54.434 
SANTO DOMINGO,2015,SEPTIEMBRE, 6.805 , 963 , 1.481 , 160 , 160 ,, 62 , 9.631 , 4.683 , 64.841 ,,, 10.955 , 90.757 
SANTO DOMINGO,2015,OCTUBRE, 6.796 , 850 , 1.238 , 199 , 126 , 4 , 65 , 9.278 , 4.430 , 25.737 ,,, 10.897 , 50.994 
SANTO DOMINGO,2015,NOVIEMBRE, 8.004 , 613 , 1.496 , 199 , 145 ,, 64 , 10.521 , 4.776 , 21.992 ,,, 11.748 , 48.092 
SANTO DOMINGO,2015,DICIEMBRE, 9.371 , 452 , 1.660 , 187 , 205 , 1 , 93 , 11.969 , 5.124 , 24.558 ,,, 13.347 , 53.949 
SANTO DOMINGO,2016,ENERO, 8.651 , 353 , 1.753 , 260 , 197 , 35 , 111 , 11.360 , 5.793 , 23.271 ,,, 12.574 , 52.819 
SANTO DOMINGO,2016,FEBRERO, 8.621 , 311 , 1.630 , 226 , 130 , 10 , 87 , 11.015 , 4.699 , 21.296 ,,, 12.164 , 47.453  
RIOBAMBA,2014,JUNIO, 4.290 , 619 , 920 , 52 , 144 , 11 , 4 , 6.040 , 3.316 , 18.305 ,,, 7.133 , 34.913 
RIOBAMBA,2014,JULIO, 4.038 , 532 , 930 , 52 , 185 , 13 , 52 , 5.802 , 3.193 , 18.680 ,,, 6.720 , 34.260 
RIOBAMBA,2014,AGOSTO, 3.864 , 533 , 996 , 86 , 214 , 9 , 51 , 5.753 , 3.226 , 18.248 ,,, 6.496 , 33.937 
RIOBAMBA,2014,SEPTIEMBRE, 3.978 , 532 , 933 , 85 , 238 , 7 , 78 , 5.851 , 3.310 , 16.898 ,,, 6.640 , 32.709 
RIOBAMBA,2014,OCTUBRE, 4.258 , 663 , 1.016 , 102 , 177 , 17 , 43 , 6.276 , 3.667 , 18.129 ,,, 7.151 , 34.925 
RIOBAMBA,2014,NOVIEMBRE, 4.248 , 559 , 1.041 , 110 , 158 , 12 , 15 , 6.143 , 3.632 , 16.858 ,,, 7.005 , 33.189 
RIOBAMBA,2014,DICIEMBRE, 4.423 , 733 , 1.143 , 153 , 225 , 16 , 17 , 6.710 , 3.919 , 15.996 ,,, 7.891 , 36.407 
RIOBAMBA,2015,ENERO, 4.028 , 681 , 1.107 , 87 , 163 , 20 , 24 , 6.110 , 3.500 , 15.624 ,,, 7.012 , 34.645 
RIOBAMBA,2015,FEBRERO, 3.771 , 823 , 1.113 , 72 , 151 , 20 , 10 , 5.960 , 3.247 , 17.206 ,,, 6.816 , 36.922 
RIOBAMBA,2015,MARZO, 3.723 , 744 , 1.093 , 107 , 187 , 18 , 22 , 5.894 , 3.169 , 18.365 ,,, 6.592 , 37.507 
RIOBAMBA,2015,ABRIL, 3.821 , 802 , 1.064 , 104 , 165 , 13 , 39 , 6.008 , 3.195 , 17.937 ,,, 6.853 , 37.393 
RIOBAMBA,2015,MAYO, 3.953 , 729 , 1.171 , 104 , 126 , 8 , 30 , 6.121 , 3.404 , 19.037 ,,, 6.912 , 38.474 
RIOBAMBA,2015,JUNIO, 3.733 , 765 , 1.086 , 110 , 147 , 22 , 14 , 5.877 , 3.272 , 17.608 ,,, 6.568 , 37.872 
RIOBAMBA,2015,JULIO, 3.810 , 736 , 1.108 , 92 , 144 , 14 , 11 , 5.915 , 3.236 , 17.732 ,,, 5.915 , 38.793 
RIOBAMBA,2015,AGOSTO, 3.758 , 676 , 1.137 , 108 , 240 , 9 , 11 , 5.939 , 3.276 , 18.053 ,,, 6.628 , 39.116 
RIOBAMBA,2015,SEPTIEMBRE, 3.543 , 705 , 1.070 , 120 , 442 , 10 , 28 , 5.918 , 3.375 , 17.263 ,,, 6.636 , 37.151 
RIOBAMBA,2015,OCTUBRE, 4.335 , 733 , 1.259 , 176 , 287 , 9 , 19 , 6.818 , 3.719 , 17.377 ,,, 7.621 , 39.538 
RIOBAMBA,2015,NOVIEMBRE, 4.126 , 674 , 1.158 , 134 , 168 , 6 , 72 , 6.338 , 3.385 , 16.211 ,,, 7.024 , 35.615 
RIOBAMBA,2015,DICIEMBRE, 4.710 , 823 , 1.261 , 151 , 210 , 13 , 51 , 7.219 , 3.858 , 18.095 ,,, 7.952 , 38.758 
RIOBAMBA,2016,ENERO, 4.463 , 659 , 1.271 , 114 , 283 , 14 , 39 , 6.843 , 4.142 , 23.271 ,,, 12.574 , 52.819 
RIOBAMBA,2016,FEBRERO, 4.139 , 673 , 1.336 , 110 , 178 , 10 , 37 , 6.483 , 3.687 , 16.902 ,,, 7.174 , 36.247 
IBARRA,2014,JUNIO, 5.059 , 89 , 1.519 , 0   , 201 , 53 , 72 , 6.993 , 3.440 , 21.630 , 1.758 , 3.267 , 7.750 , 38.116 
IBARRA,2014,JULIO, 4.927 , 103 , 1.556 , 0   , 357 , 28 , 53 , 7.024 , 3.381 , 26.025 , 1.529 , 3.112 , 7.798 , 42.439 
